unique_id,book_name,page,class,entity_list,caption
chatterboxbookof00robi_page10.png,chatterboxbookof00robi,page10.png,Human,"person, person, person, person",a cartoon of a soldier with a rifle and two children
chatterboxbookof00robi_page100.png,chatterboxbookof00robi,page100.png,Human,"person, person, person, person",an illustration of a man on a boat being pulled by a man in a boat
chatterboxbookof00robi_page102.png,chatterboxbookof00robi,page102.png,Human,"person, person, person",the battle of the nations
chatterboxbookof00robi_page106.png,chatterboxbookof00robi,page106.png,Both,"person, person, person, person",a drawing of a man in uniform talking to another man
chatterboxbookof00robi_page110.png,chatterboxbookof00robi,page110.png,Human,"person, person, person, person",a woman and a man sitting in a chair
chatterboxbookof00robi_page112.png,chatterboxbookof00robi,page112.png,Human,"person, person, person, person, person, person, baseball bat",a man on a boat with a dog
chatterboxbookof00robi_page114.png,chatterboxbookof00robi,page114.png,Human,"person, person, person, chair, chair","the first book of the novel, the adventures of sherlock"
chatterboxbookof00robi_page116.png,chatterboxbookof00robi,page116.png,Human,"person, boat, boat, person, person, person, person, person, person, person, person, person",a book with a drawing of a man in a canoe
chatterboxbookof00robi_page118.png,chatterboxbookof00robi,page118.png,Human,"person, person, person, person, person, person, person",an old drawing of a group of men in uniform
chatterboxbookof00robi_page120.png,chatterboxbookof00robi,page120.png,Both,"person, person",a man in a hat and coat standing on a boat
chatterboxbookof00robi_page122.png,chatterboxbookof00robi,page122.png,Both,"person, person, person",a man is standing next to a woman in a tent
chatterboxbookof00robi_page124.png,chatterboxbookof00robi,page124.png,Human,"person, person, person, person, person",a black and white illustration of a group of men on a boat
chatterboxbookof00robi_page126.png,chatterboxbookof00robi,page126.png,Both,"person, person, suitcase, person",the adventures of sherlock london
chatterboxbookof00robi_page130.png,chatterboxbookof00robi,page130.png,Human,"person, person, person",a man is sitting on a boat while another watches
chatterboxbookof00robi_page132.png,chatterboxbookof00robi,page132.png,Human,"person, person, person",a drawing of a man in armor and a woman in a dress
chatterboxbookof00robi_page134.png,chatterboxbookof00robi,page134.png,Human,"boat, boat",a drawing of boats in the water
chatterboxbookof00robi_page14.png,chatterboxbookof00robi,page14.png,Human,"person, person, surfboard","the battle of waterloo, from the illustrated by the illustrated by the author"
chatterboxbookof00robi_page140.png,chatterboxbookof00robi,page140.png,Human,"person, person, chair, person, person",a drawing of a man sitting in a chair
chatterboxbookof00robi_page146.png,chatterboxbookof00robi,page146.png,Both,"person, person, horse",a man and woman are working on a boat
chatterboxbookof00robi_page148.png,chatterboxbookof00robi,page148.png,Human,"person, person, person, person, person, person, person, person",a drawing of a group of men in uniform
chatterboxbookof00robi_page150.png,chatterboxbookof00robi,page150.png,Human,"person, person, person, bowl, chair, dining table",a cartoon of a man talking to a woman
chatterboxbookof00robi_page152.png,chatterboxbookof00robi,page152.png,Human,"person, boat, person, person, person",a boat with a sail and a man on it
chatterboxbookof00robi_page154.png,chatterboxbookof00robi,page154.png,Human,"person, person, person, person, person",a drawing of a group of men in the woods
chatterboxbookof00robi_page158.png,chatterboxbookof00robi,page158.png,Human,person,a black and white drawing of a man with a beard
chatterboxbookof00robi_page16.png,chatterboxbookof00robi,page16.png,Human,"boat, airplane, boat",a book with two illustrations of ships in the water
chatterboxbookof00robi_page168.png,chatterboxbookof00robi,page168.png,Human,"person, person, person",the cover of the book the great war
chatterboxbookof00robi_page174.png,chatterboxbookof00robi,page174.png,Human,"person, person",a man in a coat and hat standing next to a woman in a coat
chatterboxbookof00robi_page176.png,chatterboxbookof00robi,page176.png,Human,"dining table, chair, cup, person, person",a man sitting at a table with a book
chatterboxbookof00robi_page178.png,chatterboxbookof00robi,page178.png,Human,"person, person, person","a black and white illustration of a man in a hat, with two men standing around him"
chatterboxbookof00robi_page18.png,chatterboxbookof00robi,page18.png,Human,"person, person, person, handbag, person",a man in a suit and hat talking to another man in a suit
chatterboxbookof00robi_page182.png,chatterboxbookof00robi,page182.png,Both,"person, person, person",the cover of the book the last crusade
chatterboxbookof00robi_page184.png,chatterboxbookof00robi,page184.png,Both,"person, person",a man is hanging a basket on a pole
chatterboxbookof00robi_page186.png,chatterboxbookof00robi,page186.png,Human,"person, person, person",a drawing of a man in uniform talking to another man
chatterboxbookof00robi_page188.png,chatterboxbookof00robi,page188.png,Human,"person, person, person, airplane",a drawing of a man and woman on a ship
chatterboxbookof00robi_page190.png,chatterboxbookof00robi,page190.png,Human,"boat, person, person, person, person, boat, person",a boat with people in it and a man in the boat
chatterboxbookof00robi_page192.png,chatterboxbookof00robi,page192.png,Human,"boat, person, person",a book with a drawing of a man in a boat
chatterboxbookof00robi_page194.png,chatterboxbookof00robi,page194.png,Human,"person, person, person, person",a book with a drawing of a man being carried by a man
chatterboxbookof00robi_page198.png,chatterboxbookof00robi,page198.png,Human,"person, person",an illustration of a man in a boat with a spear
chatterboxbookof00robi_page20.png,chatterboxbookof00robi,page20.png,Human,"person, boat, person, person, person, person",a man in a boat with two men in the water
chatterboxbookof00robi_page200.png,chatterboxbookof00robi,page200.png,Human,person,a man in a hat and uniform is holding a steering
chatterboxbookof00robi_page204.png,chatterboxbookof00robi,page204.png,Human,"person, person, person",a cartoon depicting a man being carried by a woman
chatterboxbookof00robi_page22.png,chatterboxbookof00robi,page22.png,Both,"person, person, person, person",a drawing of soldiers in the field
chatterboxbookof00robi_page26.png,chatterboxbookof00robi,page26.png,Human,person,a drawing of a man with a beard and a beard
chatterboxbookof00robi_page28.png,chatterboxbookof00robi,page28.png,Human,"person, person, person, baseball glove",a man in a pirate costume talking to another man
chatterboxbookof00robi_page32.png,chatterboxbookof00robi,page32.png,Human,"person, person, person, boat, boat, boat",a book with illustrations of boats and people
chatterboxbookof00robi_page34.png,chatterboxbookof00robi,page34.png,Human,"person, backpack",a soldier stands in front of a building
chatterboxbookof00robi_page36.png,chatterboxbookof00robi,page36.png,Human,"person, person, person, person, person, handbag",a black and white drawing of two men standing in a room
chatterboxbookof00robi_page38.png,chatterboxbookof00robi,page38.png,Both,"person, person",a man kneeling in the snow with a rifle
chatterboxbookof00robi_page42.png,chatterboxbookof00robi,page42.png,Both,"person, person, person, person",a drawing of a man sitting in a chair with two women
chatterboxbookof00robi_page46.png,chatterboxbookof00robi,page46.png,Animal,,a black and white drawing of a man with a beard
chatterboxbookof00robi_page5.png,chatterboxbookof00robi,page5.png,Human,"boat, person, person, boat, boat",a boat with a red umbrella and two people in it
chatterboxbookof00robi_page50.png,chatterboxbookof00robi,page50.png,Both,"person, person, person, person, person",a book with a drawing of a man in uniform
